Combination,Corresponding Number
"(480, 300 (1.4886937141418457), 300, 0, 0)",300
"(480, 300 (1.4886937141418457), 300, 0, 2)",300
"(480, 300 (1.4886937141418457), 300, 0, 160)",300
"(480, 300 (1.4886937141418457), 300, 0, 300)",300
"(480, 300 (1.4886937141418457), 300, 0 (-1.3349385261535645), 480)","[300, 0]"
"(480, 300 (1.4886937141418457), 300, 2, 0)",300
"(480, 300 (1.4886937141418457), 300, 2, 2)",300
"(480, 300 (1.4886937141418457), 300, 2, 160)",300
"(480, 300 (1.4886937141418457), 300, 2, 300)",300
"(480, 300 (1.4886937141418457), 300, 2, 480)",300
"(480, 300 (1.4886937141418457), 300, 160, 0)",300
"(480, 300 (1.4886937141418457), 300, 160, 2)",300
"(480, 300 (1.4886937141418457), 300, 160, 160)",300
"(480, 300 (1.4886937141418457), 300 (-1.3349385261535645), 160, 300)","[300, 300]"
"(480, 300 (1.4886937141418457), 300, 160, 480)",300
"(480, 300 (1.4886937141418457), 300, 300, 0)",300
"(480, 300 (1.4886937141418457), 300, 300, 2)",300
"(480, 300 (1.4886937141418457), 300, 300, 160)",300
"(480, 300 (1.4886937141418457), 300, 300, 300)",300
"(480, 300 (1.4886937141418457), 300, 300, 480)",300
"(480, 300 (1.4886937141418457), 300, 480, 0)",300
"(480, 300 (1.4886937141418457), 300, 480, 2)",300
"(480, 300 (1.4886937141418457), 300, 480, 160)",300
"(480, 300 (1.4886937141418457), 300, 480, 300)",300
"(480, 300 (1.4886937141418457), 300, 480, 480)",300
"(480, 300 (1.4886937141418457), 480, 0 (-1.3349385261535645), 0)","[300, 0]"
"(480, 300 (1.4886937141418457), 480, 0, 2)",300
"(480, 300 (1.4886937141418457), 480, 0, 160)",300
"(480, 300 (1.4886937141418457), 480, 0, 300)",300
"(480, 300 (1.4886937141418457), 480, 0, 480)",300
"(480, 300 (1.4886937141418457), 480, 2 (-1.3349385261535645), 0)","[300, 2]"
"(480, 300 (1.4886937141418457), 480, 2, 2)",300
"(480, 300 (1.4886937141418457), 480, 2, 160)",300
"(480 (1.4886937141418457), 300 (-1.3349385261535645), 480, 2, 300)","[480, 300]"
"(480 (1.4886937141418457), 300 (-1.3349385261535645), 480, 2, 480)","[480, 300]"
"(480 (1.4886937141418457), 300 (-1.3349385261535645), 480, 160, 0)","[480, 300]"
"(480 (1.4886937141418457), 300 (-1.3349385261535645), 480, 160, 2)","[480, 300]"
"(480 (1.4886937141418457), 300 (-1.3349385261535645), 480, 160, 160)","[480, 300]"
"(480, 300 (1.4886937141418457), 480, 160, 300)",300
"(480, 300 (1.4886937141418457), 480, 160, 480)",300
"(480, 300 (1.4886937141418457), 480, 300, 0)",300
"(480, 300 (1.4886937141418457), 480, 300, 2)",300
"(480, 300 (1.4886937141418457), 480, 300, 160)",300
"(480 (1.4886937141418457), 300 (-1.3349385261535645), 480, 300, 300)","[480, 300]"
"(480, 300 (1.4886937141418457), 480, 300, 480)",300
"(480, 300 (1.4886937141418457), 480, 480, 2)",300
"(480, 300 (1.4886937141418457), 480, 480, 160)",300
"(480, 300 (1.4886937141418457), 480, 480, 300)",300
"(480 (1.4886937141418457), 300 (-1.3349385261535645), 480, 480, 480)","[480, 300]"
"(480, 480, 0 (1.4886937141418457), 0, 0)",0
"(480, 480, 0 (1.4886937141418457), 0, 2)",0
"(480, 480, 0 (1.4886937141418457), 0, 160)",0
"(480, 480, 0 (1.4886937141418457), 0, 300)",0
"(480, 480, 0 (1.4886937141418457), 0, 480)",0
"(480 (1.4886937141418457), 480, 0, 160, 480)",480
"(480, 480 (1.4886937141418457), 0, 480, 160)",480
"(480 (1.4886937141418457), 480, 2, 160, 480)",480
"(480, 480, 160, 0 (1.4886937141418457), 300)",0
"(480, 480, 160, 0 (1.4886937141418457), 480)",0
"(480 (1.4886937141418457), 480, 160, 160, 480 (-1.3349385261535645))","[480, 480]"
"(480, 480, 160, 300, 2 (1.4886937141418457))",2
"(480, 480, 160, 300, 480 (1.4886937141418457))",480
"(480, 480, 160, 480, 2 (1.4886937141418457))",2
"(480, 480, 160, 480, 160 (1.4886937141418457))",160
"(480, 480, 160, 480, 480 (1.4886937141418457))",480
"(480, 480, 300, 0 (1.4886937141418457), 160)",0
"(480, 480, 300, 0 (1.4886937141418457), 300)",0
"(480, 480, 300, 0 (1.4886937141418457), 480)",0
"(480, 480, 300, 2 (1.4886937141418457), 160)",2
"(480, 480, 300, 2 (1.4886937141418457), 300)",2
"(480, 480, 300, 2 (1.4886937141418457), 480)",2
"(480, 480, 300, 160 (1.4886937141418457), 0)",160
"(480, 480, 300, 160 (1.4886937141418457), 2)",160
"(480, 480, 300, 160 (1.4886937141418457), 160)",160
"(480, 480, 300, 160 (1.4886937141418457), 300)",160
"(480, 480, 300, 300 (1.4886937141418457), 300)",300
"(480, 480, 300, 300 (1.4886937141418457), 480)",300
"(480, 480, 300, 480, 2 (1.4886937141418457))",2
"(480, 480, 300, 480 (1.4886937141418457), 480)",480
"(480, 480 (1.4886937141418457), 480, 0, 0)",480
"(480, 480 (1.4886937141418457), 480, 0, 2)",480
"(480, 480 (1.4886937141418457), 480, 0 (-1.3349385261535645), 160)","[480, 0]"
"(480, 480 (1.4886937141418457), 480, 0 (-1.3349385261535645), 300)","[480, 0]"
"(480, 480 (1.4886937141418457), 480, 0 (-1.3349385261535645), 480)","[480, 0]"
"(480, 480 (1.4886937141418457), 480, 2, 0)",480
"(480, 480 (1.4886937141418457), 480, 2, 2)",480
"(480, 480, 480, 2 (1.4886937141418457), 300)",2
"(480, 480 (1.4886937141418457), 480, 2 (-1.3349385261535645), 480)","[480, 2]"
"(480, 480 (1.4886937141418457), 480, 160 (-1.3349385261535645), 0 (1.495853304862976))","[480, 160, 0]"
"(480 (1.4886937141418457), 480 (-1.3349385261535645), 480, 160 (1.495853304862976), 2)","[480, 480, 160]"
"(480 (1.4886937141418457), 480 (-1.3349385261535645), 480, 160 (1.495853304862976), 160 (1.5990957021713257))","[480, 480, 160, 160]"
"(480, 480 (1.4886937141418457), 480 (-1.3349385261535645), 160 (1.495853304862976), 300)","[480, 480, 160]"
"(480, 480 (1.4886937141418457), 480 (-1.3349385261535645), 160 (1.495853304862976), 480)","[480, 480, 160]"
"(480, 480 (1.4886937141418457), 480, 300, 0 (-1.3349385261535645))","[480, 0]"
"(480, 480 (1.4886937141418457), 480, 300, 2)",480
"(480, 480 (1.4886937141418457), 480, 300, 160 (-1.3349385261535645))","[480, 160]"
"(480, 480 (1.4886937141418457), 480, 300 (-1.3349385261535645), 300 (1.495853304862976))","[480, 300, 300]"
"(480, 480 (1.4886937141418457), 480, 300 (-1.3349385261535645), 480)","[480, 300]"
"(480, 480 (1.4886937141418457), 480, 480, 0)",480
"(480, 480 (1.4886937141418457), 480, 480, 2)",480
"(480, 480 (1.4886937141418457), 480, 480, 160)",480
"(480, 480 (1.4886937141418457), 480, 480, 300)",480
"(480, 480 (1.4886937141418457), 480, 480 (-1.3349385261535645), 480)","[480, 480]"
